topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,1,0.64,0.32,361142.47
nx-sc-sq,0.16,0.32,0.32,139884.87
nx-sc-sq,0.64,1,0.16,182607.82
nx-sc-sq,0.64,0.16,1,73871.71
nx-sc-sq,0.64,0.32,0.16,158889.35
nx-sc-sq,0.64,0.32,1,160339.11
nx-sc-sq,0.16,0.32,1,136891.09
nx-sc-sq,0.64,1,0.16,183080.01
nx-sc-sq,1,0.64,0.32,342092
nx-sc-sq,0.16,0.32,0.16,126976.87
nx-sc-sq,0.16,0.16,0.64,70546.82
nx-sc-sq,0.16,0.32,0.64,136227.57
nx-sc-sq,0.64,0.64,0.64,334045.28
nx-sc-sq,0.16,0.32,0.16,136921.31
nx-sc-sq,1,0.64,0.16,182300.07
nx-sc-sq,0.32,0.32,0.32,164901.02
nx-sc-sq,0.64,1,0.32,403122.28
nx-sc-sq,0.32,0.32,0.64,163377.8
nx-sc-sq,0.16,0.16,0.32,72045.79
nx-sc-sq,0.32,1,1,285527.99
nx-sc-sq,0.32,0.16,0.64,70474.81
nx-sc-sq,0.32,0.64,1,274797.1
nx-sc-sq,0.16,1,1,138489.84
nx-sc-sq,0.64,0.32,0.16,160620.16
nx-sc-sq,0.64,0.32,0.16,158690.43
nx-sc-sq,0.16,0.16,0.16,72240.38
nx-sc-sq,0.16,0.16,0.16,69900.17
nx-sc-sq,0.32,0.32,0.16,156585
nx-sc-sq,0.64,0.16,0.32,71092.19
nx-sc-sq,0.16,0.16,1,71174.98
nx-sc-sq,0.16,0.32,1,137778.47
nx-sc-sq,1,1,0.64,455599.62
nx-sc-sq,0.64,0.16,1,70649.28
nx-sc-sq,0.32,0.32,0.64,162115.53
nx-sc-sq,0.16,1,0.64,135553.89
nx-sc-sq,1,0.16,0.16,72740.77
nx-sc-sq,0.64,0.32,1,158387.75
nx-sc-sq,1,0.32,0.16,152273.89
nx-sc-sq,0.64,1,0.64,428980.08
nx-sc-sq,0.64,0.64,0.16,186334.04
nx-sc-sq,1,0.32,0.16,159149.49
nx-sc-sq,0.32,0.32,0.32,159388
nx-sc-sq,0.16,0.64,0.64,134250.93
nx-sc-sq,1,0.32,1,159202.27
nx-sc-sq,1,0.64,1,343252.72
nx-sc-sq,1,0.16,0.32,71566.95
nx-sc-sq,0.16,0.64,0.16,134279.51
nx-sc-sq,0.64,1,0.64,414528.37
nx-sc-sq,0.64,0.32,0.32,160654.09
nx-sc-sq,0.64,0.16,0.32,71278.95
nx-sc-sq,0.16,0.16,0.32,73881.71
nx-sc-sq,0.16,0.16,0.64,70904.09
nx-sc-sq,0.16,0.64,0.64,137556.43
nx-sc-sq,0.16,1,0.64,127922.1
nx-sc-sq,0.64,1,0.32,393377.75
nx-sc-sq,0.16,1,0.32,137605.77
nx-sc-sq,0.32,0.16,1,73453.89
nx-sc-sq,0.64,0.16,0.32,70773.2
nx-sc-sq,1,0.16,1,71287.71
nx-sc-sq,0.32,0.64,0.16,178303.95
nx-sc-sq,1,1,0.16,182599.53
nx-sc-sq,0.32,0.32,1,158630.47
nx-sc-sq,0.64,0.32,1,159827.96
nx-sc-sq,1,0.16,0.32,71939.94
nx-sc-sq,1,1,0.32,424399.34
